fiscal_year,agency_name,agency_start_date,work_location_borough,title_description,leave_status_as_of_june_30,base_salary,pay_basis,regular_hours,regular_gross_paid,ot_hours,total_ot_paid,total_other_pay
2018,DEPARTMENT OF CORRECTION,2004-02-12,QUEENS,CORRECTION OFFICER,ACTIVE,85292.0,per Annum,2045.72,83363.77,863.1,58483.97,13199.03
2018,ADMIN FOR CHILDREN'S SVCS,2004-03-08,MANHATTAN,PROGRAM EVALUATOR,ACTIVE,74796.0,per Annum,1790.0,74591.13,8.0,994.25,1000.92
2018,BOARD OF ELECTION POLL WORKERS,2015-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,300.0,0.0,0.0,0.0
2018,CITY COUNCIL,2018-03-05,MANHATTAN,LEGISLATIVE COUNSEL,ACTIVE,86000.0,per Annum,560.0,26389.04,0.0,0.0,0.0
2018,FINANCIAL INFO SVCS AGENCY,2000-04-30,MANHATTAN,COMPUTER SYSTEMS MANAGER,CEASED,223463.0,per Annum,1370.0,231361.44,0.0,0.0,0.0
2018,BOARD OF ELECTION POLL WORKERS,2016-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,300.0,0.0,0.0,0.0
2018,PERSONNEL MONITORS,2004-10-09,MANHATTAN,MONITOR,ACTIVE,13.0,per Hour,11.0,132.0,0.0,0.0,0.0
2018,HRA/DEPT OF SOCIAL SERVICES,2005-05-16,MANHATTAN,DIRECTOR OF EEO/CONTRACT COMPLIANCE,ACTIVE,129828.0,per Annum,1790.0,129472.21,0.0,0.0,0.0
2018,FIRE DEPARTMENT,2007-08-06,BRONX,FIREFIGHTER,ACTIVE,85292.0,per Annum,2045.72,85058.22,503.8,34689.31,19165.47
2018,FIRE DEPARTMENT,2013-07-29,BROOKLYN,FIREFIGHTER,ACTIVE,60837.0,per Annum,2045.72,60144.4,254.55,11859.2,7338.22
2018,ADMIN FOR CHILDREN'S SVCS,2011-06-20,BROOKLYN,CHILD PROTECTIVE SPECIALIST,ACTIVE,54720.0,per Annum,1790.0,54570.1,429.0,18581.42,3564.78
2018,FIRE DEPARTMENT,2014-07-14,BRONX,FIREFIGHTER,ACTIVE,55192.0,per Annum,2045.72,54779.44,649.68,28489.75,3399.76
2018,FIRE DEPARTMENT,2011-09-26,MANHATTAN,EMERGENCY MEDICAL SPECIALIST-PARAMEDIC,ACTIVE,65226.0,per Annum,2068.35,67518.6,334.5,17865.21,4719.45
2018,ADMIN FOR CHILDREN'S SVCS,1996-06-23,MANHATTAN,CHILD WELFARE SPECIALIST SUPERVISOR,CEASED,82097.0,per Annum,145.0,8587.64,0.0,0.0,456.17
2018,ADMIN FOR CHILDREN'S SVCS,2006-07-17,BROOKLYN,AGENCY ATTORNEY,ACTIVE,76275.0,per Annum,1790.0,76066.12,2.0,93.58,9209.31
2018,HRA/DEPT OF SOCIAL SERVICES,2013-03-04,MANHATTAN,JOB OPPORTUNITY SPECIALIST,ACTIVE,45402.0,per Annum,1790.0,45277.69,701.0,24968.49,3279.34
2018,HRA/DEPT OF SOCIAL SERVICES,2005-05-31,QUEENS,CASEWORKER,ACTIVE,44409.0,per Annum,1790.0,44287.36,88.5,2941.72,8089.83
2018,BOARD OF ELECTION POLL WORKERS,2010-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,575.0,0.0,0.0,0.0
2018,BOARD OF ELECTION POLL WORKERS,2010-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,303.0,0.0,0.0,0.0
2018,BOARD OF ELECTION POLL WORKERS,2012-01-02,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,575.0,0.0,0.0,0.0
2018,DEPARTMENT OF CORRECTION,2004-12-16,BROOKLYN,CORRECTION OFFICER,ACTIVE,85292.0,per Annum,2037.2,83025.64,90.52,6189.3,13041.62
2018,DEPARTMENT OF CORRECTION,1982-12-06,QUEENS,CLERICAL ASSOCIATE,CEASED,48768.0,per Annum,460.0,13093.86,0.0,0.0,1282.82
2018,OFFICE OF THE COMPTROLLER,1984-11-19,MANHATTAN,ADMINISTRATIVE ACCOUNTANT,ACTIVE,164800.0,per Annum,1790.0,164348.59,0.0,0.0,500.0
2018,DEPARTMENT OF CORRECTION,2016-06-27,BROOKLYN,CORRECTION OFFICER,ACTIVE,48371.0,per Annum,2045.72,45301.23,283.05,9297.8,2912.03
2018,BOARD OF ELECTION POLL WORKERS,2014-04-18,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,575.0,0.0,0.0,0.0
2018,DEPT. OF HOMELESS SERVICES,2017-03-13,MANHATTAN,SPECIAL OFFICER,CEASED,32426.0,per Annum,1045.72,16797.1,188.5,5023.58,3465.69
2018,HRA/DEPT OF SOCIAL SERVICES,1996-08-26,MANHATTAN,PRINCIPAL ADMINISTRATIVE ASSOCIATE - LEV 1 & 2 NON SUPVR,ACTIVE,56798.0,per Annum,1692.0,47737.27,0.0,348.13,1875.24
2018,NYC EMPLOYEES RETIREMENT SYS,2017-04-03,BROOKLYN,OFFICE MACHINE AIDE,ACTIVE,16.48,per Hour,1221.68,20733.75,51.75,852.84,3.3
2018,DEPARTMENT OF CORRECTION,2017-06-19,QUEENS,CORRECTION OFFICER,ACTIVE,44333.0,per Annum,2045.72,43330.87,13.65,446.35,3082.5
2018,FIRE DEPARTMENT,2007-08-06,MANHATTAN,FIREFIGHTER,ACTIVE,85292.0,per Annum,2045.72,85058.22,381.97,28880.24,14190.14
2018,HRA/DEPT OF SOCIAL SERVICES,2007-05-29,MANHATTAN,ADMINISTRATIVE STAFF ANALYST,ACTIVE,77951.0,per Annum,1789.0,77694.7,121.75,6490.05,917.48
2018,BOARD OF ELECTION POLL WORKERS,2010-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,578.0,0.0,0.0,0.0
2018,FIRE DEPARTMENT,2005-05-31,RICHMOND,FIREFIGHTER,ACTIVE,85292.0,per Annum,2045.72,85058.22,136.6,8540.68,16342.06
2018,BOARD OF ELECTION POLL WORKERS,2010-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,575.0,0.0,0.0,0.0
2018,DEPARTMENT OF CORRECTION,2018-03-12,QUEENS,SUPERVISOR OF STOCK WORKERS,ACTIVE,37030.0,per Annum,524.75,10647.4,0.0,0.0,8.25
2018,ADMIN FOR CHILDREN'S SVCS,1997-01-27,MANHATTAN,CHILD AND FAMILY SPECIALIST,ACTIVE,81913.0,per Annum,1790.0,81688.62,59.75,3040.25,1353.28
2018,DEPARTMENT OF CORRECTION,2007-03-08,QUEENS,CORRECTION OFFICER,ON LEAVE,85292.0,per Annum,1648.95,67635.38,131.0,8804.63,9214.9
2018,DEPARTMENT OF CORRECTION,2016-06-27,QUEENS,CORRECTION OFFICER,ACTIVE,48371.0,per Annum,2045.72,45301.23,751.48,26124.31,3693.77
